# Load-mapping outcome per corpus ROM, measured 2026-08-05 over all 287.
#
# Produced by examples/probe_load_mapping via the same
# admitted_overlay_load_mappings_v1 path that raises NoUniqueAdmittedTable.
#
# The error name conflates TWO causes, which is why this file splits them:
#   ZERO_ADMITTED  admitted:0 -- no descriptor table was found at all
#   AMBIGUOUS_<n>  admitted:n -- several tables, discovery refuses to pick
#
# Totals: 26 MAPPINGS_OK, 246 ZERO_ADMITTED, 15 ambiguous.
# Ambiguity is NOT the bottleneck -- zero-admitted outnumbers it 16:1.
outcome	rom
ZERO_ADMITTED	Beetle Adventure Racing! (USA) (En,Fr,De)
ZERO_ADMITTED	Blast Corps (USA) (Rev A)
ZERO_ADMITTED	Blues Brothers 2000 (Europe) (En,Fr,De,Es,It,Nl)
ZERO_ADMITTED	Body Harvest (Europe) (En,Fr,De)
ZERO_ADMITTED	Bomberman 64 (USA)
ZERO_ADMITTED	Bomberman 64 - The Second Attack! (USA)
ZERO_ADMITTED	Bomberman Hero (Europe)
ZERO_ADMITTED	Brunswick Circuit Pro Bowling (USA)
ZERO_ADMITTED	Buck Bumble (USA)
ZERO_ADMITTED	Bug's Life, A (France)
ZERO_ADMITTED	Bust-A-Move '99 (USA)
ZERO_ADMITTED	Bust-A-Move 2 - Arcade Edition (USA)
ZERO_ADMITTED	California Speed (USA)
ZERO_ADMITTED	Carmageddon 64 (Europe) (En,Fr,De,Es)
ZERO_ADMITTED	Castlevania - Legacy of Darkness (Europe) (En,Fr,De)
ZERO_ADMITTED	Centre Court Tennis (Europe)
ZERO_ADMITTED	Chameleon Twist (USA) (Rev A)
ZERO_ADMITTED	Chameleon Twist 2 (USA)
ZERO_ADMITTED	Charlie Blast's Territory (USA)
ZERO_ADMITTED	Chopper Attack (USA)
ZERO_ADMITTED	Choro Q 64 2 - Hacha Mecha Grand Prix Race (Japan)
ZERO_ADMITTED	Clay Fighter - Sculptor's Cut (USA)
ZERO_ADMITTED	Clay Fighter 63 1-3 (USA)
ZERO_ADMITTED	Command & Conquer (Europe) (En,Fr)
ZERO_ADMITTED	Conker's Bad Fur Day (U) [Trad-FR]
ZERO_ADMITTED	Conker's Bad Fur Day (Uncensored)
ZERO_ADMITTED	Cruis'n Exotica (USA)
ZERO_ADMITTED	Cruis'n World (USA)
ZERO_ADMITTED	CyberTiger (USA)
ZERO_ADMITTED	Dark Rift (USA)
ZERO_ADMITTED	Densha de Go! 64 (Japan)
ZERO_ADMITTED	Destruction Derby 64 (USA)
ZERO_ADMITTED	Diddy Kong Racing (USA) (En,Fr) (Rev A)
ZERO_ADMITTED	Dinomod_Enhanced_2022-09-08
ZERO_ADMITTED	Donald Duck - Goin' Quackers (USA) (En,Fr,De,Es,It)
